Date,total_gain,total_gain_vn30
2017-08-10,,
2017-08-11,0.9965142780533583,1.00362450651468
2017-08-14,0.995173256194702,1.011827390278072
2017-08-15,0.994728158940952,1.005249231363601
2017-08-16,0.9922771785487952,1.0083054087291226
2017-08-17,0.9961982229724462,1.0018909548263284
2017-08-21,0.9945866194269184,0.9977484416119801
2017-08-22,0.9966536635538171,0.9921209341400504
2017-08-23,0.9958865501564073,0.9962503682044966
2017-08-24,0.9986838791583926,1.0059854184303445
2017-08-25,0.9989535663212835,1.0088697641779374
2017-08-28,1.009584706140958,1.0151677815673892
2017-08-29,1.0037702365448637,1.0179464414594186
2017-08-30,1.010508299909433,1.0252960838735845
2017-08-31,1.0178162988464514,1.0369801937461336
2017-09-01,1.0229607388939386,1.0392460058779391
2017-09-05,1.0242730748519437,1.0431214741636903
2017-09-06,1.0237488284561378,1.0419761904164249
2017-09-07,1.0322622534725099,1.0438055922535565
2017-09-08,1.0388856300958864,1.053720333197193
2017-09-11,1.0390146457067753,1.0476465307676721
2017-09-12,1.039318070067417,1.051233652998862
2017-09-13,1.0441933828640344,1.0546803001770793
2017-09-14,1.0513867033521527,1.058471311155745
2017-09-15,1.0513867033521527,1.056557617473469
2017-09-18,1.0608194630717191,1.0640493004356044
2017-09-19,1.0600196987917174,1.0651331883162254
2017-09-20,1.0548461972144303,1.0602357943844616
2017-09-21,1.0549727955180133,1.056807194037806
2017-09-22,1.05514217221178,1.0573657823328422
2017-09-25,1.0534449556469463,1.0598272739460075
2017-09-26,1.052978458615564,1.0592830252623298
2017-09-27,1.050903066832421,1.0592956891007392
2017-09-28,1.0503948076202227,1.06125855919673
2017-09-29,1.0523829632885815,1.065366191810069
2017-10-02,1.0542387986253734,1.060859986337169
2017-10-03,1.0534353819904205,1.0579012568206811
2017-10-04,1.0590015600231377,1.0653073490924747
2017-10-05,1.0616109876325655,1.069486709096503
2017-10-06,1.060265884648118,1.0726833995816478
2017-10-09,1.0595538129383084,1.0732832121402232
2017-10-10,1.0634753815657594,1.0776916894047193
2017-10-11,1.0662185237103978,1.0792334793731375
2017-10-12,1.0697002446753319,1.0848200715519085
2017-10-13,1.0783743462862365,1.0889558740210443
2017-10-16,1.0782514961633862,1.0894722568820512
2017-10-17,1.0828816948931548,1.0920282616499832
2017-10-18,1.0856139353303131,1.0910599463959536
2017-10-19,1.0835280457597611,1.0940903981418373
2017-10-20,1.0867912208291035,1.0907877670457309
2017-10-23,1.0883475135759602,1.0809574957007877
2017-10-24,1.083315755760238,1.0868819893920696
2017-10-25,1.0882768053707341,1.0991170805699897
2017-10-26,1.0838491508090313,1.0967069433869288
2017-10-27,1.0929053561371664,1.1097262832685713
