Date,gain,total_gain
2017-08-13,0,0
2017-08-14,-0.8999999999999546,-0.8999999999999546
2017-08-15,0.0,-0.8999999999999546
2017-08-16,-0.7000000000000228,-1.5999999999999774
2017-08-17,-3.5,-5.099999999999977
2017-08-18,0,-5.099999999999977
2017-08-19,0,-5.099999999999977
2017-08-20,0,-5.099999999999977
2017-08-21,-2.800000000000068,-7.900000000000046
2017-08-22,-4.099999999999887,-11.999999999999932
2017-08-23,0.0,-11.999999999999932
2017-08-24,0.0,-11.999999999999932
2017-08-25,0.10000000000004583,-11.899999999999887
2017-08-26,0,-11.899999999999887
2017-08-27,0,-11.899999999999887
2017-08-28,7.899999999999977,-3.9999999999999094
2017-08-29,-8.799999999999999,-12.799999999999908
2017-08-30,5.600000000000023,-7.199999999999886
2017-08-31,5.5,-1.6999999999998856
2017-09-01,1.300000000000023,-0.3999999999998627
2017-09-02,0,-0.3999999999998627
2017-09-03,0,-0.3999999999998627
2017-09-04,0,-0.3999999999998627
2017-09-05,1.0,0.6000000000001373
2017-09-06,-2.6,-1.9999999999998628
2017-09-07,0.0,-1.9999999999998628
2017-09-08,-0.7999999999999323,-2.799999999999795
2017-09-09,0,-2.799999999999795
2017-09-10,0,-2.799999999999795
2017-09-11,6.799999999999977,4.000000000000181
2017-09-12,0.0,4.000000000000181
2017-09-13,1.7999999999999998,5.800000000000181
2017-09-14,0.8000000000000895,6.6000000000002705
2017-09-15,-1.2999999999999305,5.30000000000034
2017-09-16,0,5.30000000000034
2017-09-17,0,5.30000000000034
2017-09-18,0.0,5.30000000000034
2017-09-19,-1.5999999999999996,3.7000000000003403
2017-09-20,-2.6000000000000227,1.1000000000003176
2017-09-21,-2.699999999999932,-1.5999999999996142
2017-09-22,-1.6000000000000227,-3.199999999999637
2017-09-23,0,-3.199999999999637
2017-09-24,0,-3.199999999999637
2017-09-25,0.39999999999997726,-2.7999999999996597
2017-09-26,1.0,-1.7999999999996597
2017-09-27,-1.2000000000000224,-2.999999999999682
2017-09-28,0.0,-2.999999999999682
2017-09-29,0.0,-2.999999999999682
2017-09-30,0,-2.999999999999682
2017-10-01,0,-2.999999999999682
2017-10-02,0.8000000000000469,-2.199999999999635
2017-10-03,0.0,-2.199999999999635
2017-10-04,5.199999999999978,3.000000000000343
2017-10-05,4.500000000000023,7.500000000000366
2017-10-06,0.9999999999999094,8.500000000000275
2017-10-07,0,8.500000000000275
2017-10-08,0,8.500000000000275
2017-10-09,-0.4999999999998632,8.000000000000412
2017-10-10,0.0,8.000000000000412
2017-10-11,0.0,8.000000000000412
2017-10-12,-2.399999999999931,5.600000000000481
2017-10-13,5.200000000000069,10.80000000000055
2017-10-14,0,10.80000000000055
2017-10-15,0,10.80000000000055
2017-10-16,2.199999999999955,13.000000000000504
2017-10-17,2.0999999999999552,15.10000000000046
2017-10-18,4.000000000000025,19.100000000000485
2017-10-19,0.0,19.100000000000485
2017-10-20,0.0,19.100000000000485
2017-10-21,0,19.100000000000485
2017-10-22,0,19.100000000000485
2017-10-23,0.0,19.100000000000485
2017-10-24,0.0,19.100000000000485
2017-10-25,0.0,19.100000000000485
2017-10-26,-1.7999999999999758,17.30000000000051
2017-10-27,3.40000000000002,20.70000000000053
2017-10-28,0,20.70000000000053
2017-10-29,0,20.70000000000053
2017-10-30,12.999999999999915,33.70000000000044
2017-10-31,0.0,33.70000000000044
2017-11-01,1.8999999999999986,35.60000000000044
2017-11-02,2.100000000000044,37.700000000000486
2017-11-03,0.0,37.700000000000486
2017-11-04,0,37.700000000000486
2017-11-05,0,37.700000000000486
2017-11-06,3.3000000000000043,41.00000000000049
2017-11-07,-4.199999999999953,36.80000000000054
2017-11-08,7.600000000000051,44.40000000000059
2017-11-09,0.6999999999999602,45.10000000000055
2017-11-10,0.0,45.10000000000055
2017-11-11,0,45.10000000000055
2017-11-12,0,45.10000000000055
2017-11-13,0.0,45.10000000000055
2017-11-14,0.0,45.10000000000055
2017-11-15,4.299999999999862,49.40000000000041
2017-11-16,11.100000000000023,60.50000000000043
2017-11-17,7.299999999999976,67.80000000000041
2017-11-18,0,67.80000000000041
2017-11-19,0,67.80000000000041
2017-11-20,17.19999999999996,85.00000000000037
2017-11-21,45.400000000000006,130.40000000000038
2017-11-22,0.0,130.40000000000038
2017-11-23,15.099999999999852,145.50000000000023
2017-11-24,0.0,145.50000000000023
2017-11-25,0,145.50000000000023
2017-11-26,0,145.50000000000023
2017-11-27,-2.199999999999932,143.3000000000003
2017-11-28,-3.4999999999999716,139.80000000000032
2017-11-29,11.599999999999937,151.40000000000026
2017-11-30,1.4000000000000057,152.80000000000027
2017-12-01,-3.5999999999999943,149.20000000000027
2017-12-02,0,149.20000000000027
2017-12-03,0,149.20000000000027
