Date,gain,total_gain
2017-08-10,0.0,0.0
2017-08-11,0.0,0.0
2017-08-12,0.0,0.0
2017-08-13,0.0,0.0
2017-08-14,0.0,0.0
2017-08-15,0.0,0.0
2017-08-16,0.0,0.0
2017-08-17,0.0,0.0
2017-08-18,0.0,0.0
2017-08-19,0.0,0.0
2017-08-20,0.0,0.0
2017-08-21,0.0,0.0
2017-08-22,0.0,0.0
2017-08-23,0.0,0.0
2017-08-24,0.0,0.0
2017-08-25,0.0,0.0
2017-08-26,0.0,0.0
2017-08-27,0.0,0.0
2017-08-28,0.0,0.0
2017-08-29,0.0,0.0
2017-08-30,0.0,0.0
2017-08-31,0.0,0.0
2017-09-01,0.0,0.0
2017-09-02,0.0,0.0
2017-09-03,0.0,0.0
2017-09-04,0.0,0.0
2017-09-05,0.0,0.0
2017-09-06,0.0,0.0
2017-09-07,0.0,0.0
2017-09-08,0.0,0.0
2017-09-09,0.0,0.0
2017-09-10,0.0,0.0
2017-09-11,0.0,0.0
2017-09-12,0.0,0.0
2017-09-13,0.0,0.0
2017-09-14,0.0,0.0
2017-09-15,0.0,0.0
2017-09-16,0.0,0.0
2017-09-17,0.0,0.0
2017-09-18,0.0,0.0
2017-09-19,0.0,0.0
2017-09-20,0.0,0.0
2017-09-21,0.0,0.0
2017-09-22,0.0,0.0
2017-09-23,0.0,0.0
2017-09-24,0.0,0.0
2017-09-25,0.0,0.0
2017-09-26,0.0,0.0
2017-09-27,0.0,0.0
2017-09-28,0.0,0.0
2017-09-29,0.0,0.0
2017-09-30,0.0,0.0
2017-10-01,0.0,0.0
2017-10-02,0.0,0.0
2017-10-03,0.0,0.0
2017-10-04,0.0,0.0
2017-10-05,0.0,0.0
2017-10-06,0.0,0.0
2017-10-07,0.0,0.0
2017-10-08,0.0,0.0
2017-10-09,0.0,0.0
2017-10-10,0.0,0.0
2017-10-11,0.0,0.0
2017-10-12,0.0,0.0
2017-10-13,0.0,0.0
2017-10-14,0.0,0.0
2017-10-15,0.0,0.0
2017-10-16,0.0,0.0
2017-10-17,0.0,0.0
2017-10-18,0.0,0.0
2017-10-19,0.0,0.0
2017-10-20,0.0,0.0
2017-10-21,0.0,0.0
2017-10-22,0.0,0.0
2017-10-23,0.0,0.0
2017-10-24,0.0,0.0
2017-10-25,0.0,0.0
2017-10-26,0.0,0.0
2017-10-27,0.0,0.0
2017-10-28,0.0,0.0
2017-10-29,0.0,0.0
2017-10-30,0.0,0.0
2017-10-31,0.0,0.0
2017-11-01,0.0,0.0
2017-11-02,0.0,0.0
2017-11-03,0.0,0.0
2017-11-04,0.0,0.0
2017-11-05,0.0,0.0
2017-11-06,0.0,0.0
2017-11-07,0.0,0.0
2017-11-08,0.0,0.0
2017-11-09,-0.7000000000000683,-0.7000000000000683
2017-11-10,-1.900000000000023,-2.600000000000091
2017-11-11,0.0,-2.600000000000091
2017-11-12,0.0,-2.600000000000091
2017-11-13,0.7999999999999776,-1.8000000000001135
2017-11-14,-9.09999999999991,-10.900000000000023
2017-11-15,-6.299999999999976,-17.2
2017-11-16,-3.900000000000002,-21.1
2017-11-17,4.399999999999956,-16.700000000000045
2017-11-18,0.0,-16.700000000000045
2017-11-19,0.0,-16.700000000000045
2017-11-20,0.0,-16.700000000000045
2017-11-21,1.7000000000000206,-15.000000000000025
2017-11-22,-1.5000000000000462,-16.50000000000007
2017-11-23,0.0,-16.50000000000007
2017-11-24,0.0,-16.50000000000007
2017-11-25,0.0,-16.50000000000007
2017-11-26,0.0,-16.50000000000007
2017-11-27,0.0,-16.50000000000007
2017-11-28,-2.200000000000067,-18.700000000000138
2017-11-29,9.799999999999976,-8.900000000000162
2017-11-30,2.9999999999999085,-5.9000000000002535
2017-12-01,0.9999999999998854,-4.900000000000368
2017-12-02,0.0,-4.900000000000368
2017-12-03,0.0,-4.900000000000368
2017-12-04,22.49999999999998,17.59999999999961
2017-12-05,29.199999999999953,46.799999999999564
2017-12-06,5.099999999999959,51.89999999999952
2017-12-07,-8.200000000000003,43.69999999999952
2017-12-08,-4.599999999999994,39.099999999999525
2017-12-09,0.0,39.099999999999525
2017-12-10,0.0,39.099999999999525
2017-12-11,-18.1,20.999999999999524
2017-12-12,1.400000000000004,22.39999999999953
2017-12-13,7.599999999999952,29.99999999999948
2017-12-14,-5.500000000000021,24.49999999999946
2017-12-15,-3.6000000000000654,20.899999999999395
2017-12-16,0.0,20.899999999999395
2017-12-17,0.0,20.899999999999395
2017-12-18,-8.59999999999995,12.299999999999445
2017-12-19,11.199999999999909,23.499999999999353
2017-12-20,3.3000000000000043,26.799999999999358
2017-12-21,2.199999999999907,28.999999999999265
2017-12-22,0.0,28.999999999999265
2017-12-23,0.0,28.999999999999265
2017-12-24,0.0,28.999999999999265
2017-12-25,-0.30000000000008953,28.699999999999175
2017-12-26,-0.7999999999999758,27.8999999999992
2017-12-27,8.100000000000005,35.999999999999204
2017-12-28,9.40000000000002,45.399999999999224
2017-12-29,3.0000000000000426,48.39999999999927
2017-12-30,0.0,48.39999999999927
2017-12-31,0.0,48.39999999999927
2018-01-01,0.0,48.39999999999927
2018-01-02,11.299999999999983,59.69999999999925
2018-01-03,7.40000000000002,67.09999999999927
2018-01-04,0.0,67.09999999999927
2018-01-05,0.0,67.09999999999927
2018-01-06,0.0,67.09999999999927
2018-01-07,0.0,67.09999999999927
2018-01-08,0.0,67.09999999999927
2018-01-09,0.0,67.09999999999927
2018-01-10,1.1000000000000938,68.19999999999936
2018-01-11,15.000000000000057,83.19999999999942
2018-01-12,-1.0999999999998664,82.09999999999955
2018-01-13,0.0,82.09999999999955
2018-01-14,0.0,82.09999999999955
2018-01-15,2.3999999999999915,84.49999999999955
2018-01-16,-9.100000000000222,75.39999999999932
2018-01-17,-16.400000000000134,58.99999999999919
2018-01-18,25.90000000000005,84.89999999999924
2018-01-19,2.0000000000000995,86.89999999999934
2018-01-20,0.0,86.89999999999934
2018-01-21,0.0,86.89999999999934
2018-01-22,9.699999999999946,96.59999999999928
2018-01-23,6.099999999999966,102.69999999999925
2018-01-24,0.0,102.69999999999925
2018-01-25,0.0,102.69999999999925
2018-01-26,0.0,102.69999999999925
2018-01-27,0.0,102.69999999999925
2018-01-28,0.0,102.69999999999925
2018-01-29,0.0,102.69999999999925
2018-01-30,22.000000000000043,124.69999999999929
2018-01-31,4.8999999999999915,129.59999999999928
2018-02-01,-11.80000000000004,117.79999999999924
2018-02-02,0.7999999999999261,118.59999999999917
2018-02-03,0.0,118.59999999999917
2018-02-04,0.0,118.59999999999917
2018-02-05,20.999999999999915,139.59999999999908
2018-02-06,-7.9000000000000625,131.69999999999902
2018-02-07,33.69999999999996,165.39999999999898
2018-02-08,1.4999999999999716,166.89999999999895
2018-02-09,26.400000000000034,193.299999999999
2018-02-10,0.0,193.299999999999
2018-02-11,0.0,193.299999999999
2018-02-12,-11.599999999999994,181.699999999999
2018-02-13,-6.999999999999915,174.69999999999908
2018-02-14,0.0,174.69999999999908
2018-02-15,0.0,174.69999999999908
2018-02-16,0.0,174.69999999999908
2018-02-17,0.0,174.69999999999908
2018-02-18,0.0,174.69999999999908
2018-02-19,0.0,174.69999999999908
2018-02-20,0.0,174.69999999999908
2018-02-21,0.0,174.69999999999908
2018-02-22,-6.300000000000182,168.3999999999989
2018-02-23,41.0,209.3999999999989
2018-02-24,0.0,209.3999999999989
2018-02-25,0.0,209.3999999999989
2018-02-26,34.599999999999824,243.99999999999872
2018-02-27,-9.299999999999955,234.69999999999877
2018-02-28,-5.299999999999983,229.39999999999878
2018-03-01,-14.000000000000057,215.39999999999873
2018-03-02,0.09999999999999432,215.49999999999872
2018-03-03,0.0,215.49999999999872
2018-03-04,0.0,215.49999999999872
2018-03-05,21.400000000000006,236.89999999999873
2018-03-06,23.599999999999795,260.4999999999985
2018-03-07,11.499999999999943,271.99999999999847
2018-03-08,11.800000000000011,283.7999999999985
2018-03-09,22.000000000000114,305.7999999999986
2018-03-10,0.0,305.7999999999986
2018-03-11,0.0,305.7999999999986
2018-03-12,-10.300000000000011,295.4999999999986
2018-03-13,10.70000000000016,306.19999999999874
2018-03-14,-0.9999999999999432,305.1999999999988
2018-03-15,1.800000000000125,306.9999999999989
2018-03-16,0.0,306.9999999999989
2018-03-17,0.0,306.9999999999989
2018-03-18,0.0,306.9999999999989
2018-03-19,0.0,306.9999999999989
2018-03-20,0.0,306.9999999999989
2018-03-21,1.900000000000034,308.89999999999895
2018-03-22,-0.799999999999784,308.09999999999917
2018-03-23,4.600000000000023,312.6999999999992
2018-03-24,0.0,312.6999999999992
2018-03-25,0.0,312.6999999999992
2018-03-26,13.800000000000011,326.4999999999992
2018-03-27,-3.799999999999841,322.69999999999936
2018-03-28,-2.6000000000001364,320.0999999999992
2018-03-29,5.800000000000068,325.8999999999993
2018-03-30,2.800000000000068,328.69999999999936
2018-03-31,0.0,328.69999999999936
2018-04-01,0.0,328.69999999999936
2018-04-02,15.199999999999875,343.89999999999924
2018-04-03,-1.6000000000000796,342.29999999999916
2018-04-04,1.0000000000001137,343.2999999999993
2018-04-05,1.0000000000000568,344.29999999999933
2018-04-06,1.6999999999999886,345.9999999999993
2018-04-07,0.0,345.9999999999993
2018-04-08,0.0,345.9999999999993
2018-04-09,4.399999999999807,350.3999999999991
2018-04-10,1.8000000000002956,352.1999999999994
2018-04-11,20.999999999999943,373.19999999999936
2018-04-12,1.8999999999999204,375.0999999999993
2018-04-13,2.8000000000000114,377.8999999999993
2018-04-14,0.0,377.8999999999993
2018-04-15,0.0,377.8999999999993
2018-04-16,-3.2000000000000455,374.69999999999925
2018-04-17,1.6999999999999886,376.39999999999924
2018-04-18,16.500000000000057,392.8999999999993
2018-04-19,21.599999999999852,414.49999999999915
2018-04-20,0.0,414.49999999999915
2018-04-21,0.0,414.49999999999915
2018-04-22,0.0,414.49999999999915
2018-04-23,42.400000000000034,456.8999999999992
2018-04-24,-2.1999999999999886,454.6999999999992
2018-04-25,0.0,454.6999999999992
