,Datetime,gain,total_gain
0,2017-08-30,-1.599999999999977,-1.599999999999977
1,2017-08-31,5.599999999999932,3.999999999999955
2,2017-09-01,-3.5999999999999774,0.3999999999999777
3,2017-09-02,0.0,0.3999999999999777
4,2017-09-03,0.0,0.3999999999999777
5,2017-09-04,0.0,0.3999999999999777
6,2017-09-05,-4.19999999999993,-3.7999999999999523
7,2017-09-06,-2.6000000000000902,-6.400000000000043
8,2017-09-07,4.599999999999931,-1.8000000000001117
9,2017-09-08,-7.700000000000067,-9.500000000000178
10,2017-09-09,0.0,-9.500000000000178
11,2017-09-10,0.0,-9.500000000000178
12,2017-09-11,-5.699999999999886,-15.200000000000063
13,2017-09-12,4.600000000000046,-10.600000000000017
14,2017-09-13,3.9000000000000004,-6.700000000000017
15,2017-09-14,-4.199999999999999,-10.900000000000016
16,2017-09-15,-0.5999999999999996,-11.500000000000016
17,2017-09-16,0.0,-11.500000000000016
18,2017-09-17,0.0,-11.500000000000016
19,2017-09-18,5.699999999999955,-5.800000000000061
20,2017-09-19,-5.09999999999998,-10.900000000000041
21,2017-09-20,0.6999999999999531,-10.200000000000088
22,2017-09-21,-4.700000000000003,-14.900000000000091
23,2017-09-22,-1.500000000000071,-16.400000000000162
24,2017-09-23,0.0,-16.400000000000162
25,2017-09-24,0.0,-16.400000000000162
26,2017-09-25,-3.8000000000002103,-20.200000000000372
27,2017-09-26,0.0,-20.200000000000372
28,2017-09-27,0.0,-20.200000000000372
29,2017-09-28,0.0,-20.200000000000372
30,2017-09-29,0.0,-20.200000000000372
31,2017-09-30,0.0,-20.200000000000372
32,2017-10-01,0.0,-20.200000000000372
33,2017-10-02,0.0,-20.200000000000372
34,2017-10-03,0.0,-20.200000000000372
35,2017-10-04,0.0,-20.200000000000372
36,2017-10-05,-1.5000000000000924,-21.700000000000465
37,2017-10-06,-1.8999999999999133,-23.600000000000378
38,2017-10-07,0.0,-23.600000000000378
39,2017-10-08,0.0,-23.600000000000378
40,2017-10-09,2.100000000000044,-21.500000000000334
41,2017-10-10,-3.199999999999868,-24.700000000000202
42,2017-10-11,5.399999999999999,-19.300000000000203
43,2017-10-12,-3.799999999999983,-23.100000000000186
44,2017-10-13,-1.300000000000047,-24.400000000000233
45,2017-10-14,0.0,-24.400000000000233
46,2017-10-15,0.0,-24.400000000000233
47,2017-10-16,0.0,-24.400000000000233
48,2017-10-17,0.0,-24.400000000000233
49,2017-10-18,0.0,-24.400000000000233
50,2017-10-19,0.0,-24.400000000000233
51,2017-10-20,0.0,-24.400000000000233
52,2017-10-21,0.0,-24.400000000000233
53,2017-10-22,0.0,-24.400000000000233
54,2017-10-23,2.700000000000067,-21.700000000000166
55,2017-10-24,0.0,-21.700000000000166
56,2017-10-25,5.499999999999972,-16.200000000000195
57,2017-10-26,-2.499999999999936,-18.70000000000013
58,2017-10-27,-3.699999999999868,-22.4
59,2017-10-28,0.0,-22.4
60,2017-10-29,0.0,-22.4
61,2017-10-30,10.899999999999999,-11.5
62,2017-10-31,-5.799999999999962,-17.29999999999996
63,2017-11-01,-0.8000000000001393,-18.1000000000001
64,2017-11-02,-0.30000000000023164,-18.400000000000333
65,2017-11-03,4.699999999999953,-13.70000000000038
66,2017-11-04,0.0,-13.70000000000038
67,2017-11-05,0.0,-13.70000000000038
68,2017-11-06,8.899999999999999,-4.800000000000381
69,2017-11-07,-7.999999999999915,-12.800000000000296
70,2017-11-08,-4.50000000000005,-17.300000000000345
71,2017-11-09,2.099999999999973,-15.200000000000372
72,2017-11-10,-0.40000000000006963,-15.600000000000442
73,2017-11-11,0.0,-15.600000000000442
74,2017-11-12,0.0,-15.600000000000442
75,2017-11-13,-5.600000000000122,-21.200000000000564
76,2017-11-14,4.000000000000021,-17.200000000000543
77,2017-11-15,-8.000000000000163,-25.200000000000706
78,2017-11-16,3.8999999999999986,-21.300000000000708
79,2017-11-17,6.699999999999953,-14.600000000000755
80,2017-11-18,0.0,-14.600000000000755
81,2017-11-19,0.0,-14.600000000000755
82,2017-11-20,-9.40000000000007,-24.000000000000824
83,2017-11-21,23.599999999999973,-0.40000000000085123
84,2017-11-22,-10.599999999999937,-11.000000000000789
85,2017-11-23,-15.60000000000008,-26.60000000000087
86,2017-11-24,29.400000000000006,2.7999999999991374
87,2017-11-25,0.0,2.7999999999991374
88,2017-11-26,0.0,2.7999999999991374
89,2017-11-27,-10.200000000000045,-7.400000000000908
90,2017-11-28,-3.30000000000004,-10.700000000000948
91,2017-11-29,-5.700000000000017,-16.400000000000965
92,2017-11-30,14.400000000000006,-2.0000000000009592
93,2017-12-01,0.899999999999892,-1.1000000000010672
94,2017-12-02,0.0,-1.1000000000010672
95,2017-12-03,0.0,-1.1000000000010672
96,2017-12-04,0.0,-1.1000000000010672
97,2017-12-05,9.799999999999983,8.699999999998916
98,2017-12-06,20.299999999999926,28.999999999998842
99,2017-12-07,5.799999999999926,34.79999999999877
100,2017-12-08,-0.49999999999980105,34.29999999999897
101,2017-12-09,0.0,34.29999999999897
102,2017-12-10,0.0,34.29999999999897
103,2017-12-11,-18.499999999999915,15.799999999999052
104,2017-12-12,0.8000000000001535,16.599999999999206
105,2017-12-13,-1.5999999999999943,14.999999999999211
106,2017-12-14,-8.899999999999892,6.099999999999319
107,2017-12-15,11.799999999999926,17.899999999999245
108,2017-12-16,0.0,17.899999999999245
109,2017-12-17,0.0,17.899999999999245
110,2017-12-18,-4.199999999999903,13.699999999999342
111,2017-12-19,11.400000000000006,25.099999999999348
112,2017-12-20,7.499999999999915,32.59999999999926
