,Datetime,gain,total_gain
0,2017-08-10,0.0,0.0
1,2017-08-11,-2.0999999999999543,-2.0999999999999543
2,2017-08-12,0.0,-2.0999999999999543
3,2017-08-13,0.0,-2.0999999999999543
4,2017-08-14,-1.7000000000000002,-3.7999999999999545
5,2017-08-15,0.3999999999999999,-3.3999999999999546
6,2017-08-16,1.6000000000000454,-1.7999999999999092
7,2017-08-17,0.5000000000000231,-1.2999999999998861
8,2017-08-18,0.0,-1.2999999999998861
9,2017-08-19,0.0,-1.2999999999998861
10,2017-08-20,0.0,-1.2999999999998861
11,2017-08-21,3.199999999999955,1.9000000000000687
12,2017-08-22,-1.5999999999999996,0.3000000000000691
13,2017-08-23,-0.09999999999995346,0.20000000000011564
14,2017-08-24,2.2999999999999767,2.5000000000000924
15,2017-08-25,-3.7000000000002036,-1.2000000000001112
16,2017-08-26,0.0,-1.2000000000001112
17,2017-08-27,0.0,-1.2000000000001112
18,2017-08-28,-1.899999999999931,-3.1000000000000423
19,2017-08-29,5.100000000000046,2.0000000000000036
20,2017-08-30,-0.9000000000000217,1.0999999999999819
21,2017-08-31,3.600000000000092,4.700000000000074
22,2017-09-01,-7.399999999999984,-2.6999999999999105
23,2017-09-02,0.0,-2.6999999999999105
24,2017-09-03,0.0,-2.6999999999999105
25,2017-09-04,0.0,-2.6999999999999105
26,2017-09-05,-2.1999999999999815,-4.899999999999892
27,2017-09-06,-0.9999999999998224,-5.899999999999714
28,2017-09-07,4.199999999999953,-1.6999999999997613
29,2017-09-08,-3.400000000000027,-5.099999999999788
30,2017-09-09,0.0,-5.099999999999788
31,2017-09-10,0.0,-5.099999999999788
32,2017-09-11,-4.800000000000004,-9.899999999999793
33,2017-09-12,5.100000000000044,-4.7999999999997485
34,2017-09-13,2.000000000000064,-2.7999999999996845
35,2017-09-14,-4.09999999999998,-6.899999999999665
36,2017-09-15,0.0,-6.899999999999665
37,2017-09-16,0.0,-6.899999999999665
38,2017-09-17,0.0,-6.899999999999665
39,2017-09-18,-0.500000000000071,-7.399999999999736
40,2017-09-19,0.0,-7.399999999999736
41,2017-09-20,-2.3000000000000753,-9.699999999999811
42,2017-09-21,-3.299999999999912,-12.999999999999723
43,2017-09-22,-3.800000000000118,-16.79999999999984
44,2017-09-23,0.0,-16.79999999999984
45,2017-09-24,0.0,-16.79999999999984
46,2017-09-25,-3.4999999999998224,-20.299999999999663
47,2017-09-26,-0.6000000000000512,-20.899999999999714
48,2017-09-27,0.29999999999997584,-20.59999999999974
49,2017-09-28,-2.7000000000001165,-23.299999999999855
50,2017-09-29,-3.400000000000027,-26.699999999999882
51,2017-09-30,0.0,-26.699999999999882
52,2017-10-01,0.0,-26.699999999999882
53,2017-10-02,0.7999999999999758,-25.899999999999906
54,2017-10-03,4.699999999999953,-21.199999999999953
55,2017-10-04,-3.100000000000094,-24.300000000000047
56,2017-10-05,6.799999999999976,-17.50000000000007
57,2017-10-06,-1.4999999999999787,-19.00000000000005
58,2017-10-07,0.0,-19.00000000000005
59,2017-10-08,0.0,-19.00000000000005
60,2017-10-09,-1.09999999999998,-20.10000000000003
61,2017-10-10,-1.8000000000000256,-21.900000000000055
62,2017-10-11,5.500000000000021,-16.400000000000034
63,2017-10-12,-1.399999999999956,-17.79999999999999
64,2017-10-13,-2.4999999999999574,-20.299999999999947
65,2017-10-14,0.0,-20.299999999999947
66,2017-10-15,0.0,-20.299999999999947
67,2017-10-16,4.899999999999999,-15.399999999999949
68,2017-10-17,0.2000000000000668,-15.199999999999882
69,2017-10-18,2.799999999999976,-12.399999999999906
70,2017-10-19,-1.300000000000118,-13.700000000000024
71,2017-10-20,-3.5000000000000497,-17.200000000000074
72,2017-10-21,0.0,-17.200000000000074
73,2017-10-22,0.0,-17.200000000000074
74,2017-10-23,4.900000000000155,-12.299999999999919
75,2017-10-24,-1.299999999999912,-13.599999999999831
76,2017-10-25,2.6000000000000654,-10.999999999999766
77,2017-10-26,-2.6000000000000014,-13.599999999999767
78,2017-10-27,-4.000000000000028,-17.599999999999795
79,2017-10-28,0.0,-17.599999999999795
80,2017-10-29,0.0,-17.599999999999795
81,2017-10-30,13.000000000000028,-4.599999999999767
82,2017-10-31,-5.19999999999979,-9.799999999999557
83,2017-11-01,-4.899999999999864,-14.69999999999942
84,2017-11-02,-3.9999999999999716,-18.69999999999939
85,2017-11-03,3.100000000000051,-15.59999999999934
86,2017-11-04,0.0,-15.59999999999934
87,2017-11-05,0.0,-15.59999999999934
88,2017-11-06,8.19999999999996,-7.39999999999938
89,2017-11-07,-2.8999999999998636,-10.299999999999244
90,2017-11-08,-1.299999999999983,-11.599999999999227
91,2017-11-09,-0.9000000000001194,-12.499999999999346
92,2017-11-10,-7.4000000000000625,-19.89999999999941
93,2017-11-11,0.0,-19.89999999999941
94,2017-11-12,0.0,-19.89999999999941
95,2017-11-13,-5.400000000000034,-25.299999999999443
96,2017-11-14,-4.499999999999915,-29.799999999999358
97,2017-11-15,-10.599999999999767,-40.399999999999125
98,2017-11-16,-8.700000000000045,-49.09999999999917
99,2017-11-17,7.000000000000028,-42.09999999999914
100,2017-11-18,0.0,-42.09999999999914
101,2017-11-19,0.0,-42.09999999999914
102,2017-11-20,6.499999999999915,-35.59999999999923
103,2017-11-21,17.900000000000063,-17.699999999999164
104,2017-11-22,-11.000000000000057,-28.69999999999922
105,2017-11-23,12.29999999999984,-16.39999999999938
106,2017-11-24,-2.200000000000017,-18.599999999999397
107,2017-11-25,0.0,-18.599999999999397
108,2017-11-26,0.0,-18.599999999999397
